route_id,route_short_name,agency_id,route_type,route_long_name
127M,127M,TGSRTC,3,127M-AMBEDKAR OPEN UNIVERSITY-TO-MEHDIPATNAM-UPL
127N,127N,TGSRTC,3,127N-BKP- BARKATHPURA-TO-NANDI NAGAR
127R/K,127R/K,TGSRTC,3,127R/K-SAINAGAR-RAITHU BAZAR-KONDAPUR-HYT2
136N,136N,TGSRTC,3,136N-ECIL-TO-NAMPALLY
137,137,TGSRTC,3,137-BEEERBAN BAGH-TO-VST-MSRD
142S,142S,TGSRTC,3,5K-MEHDIPATNAM DEPOT-TO-SECUNDERABAD-MP
142Y,142Y,TGSRTC,3,142Y-BAPU HILLS-TO-MEHDIPATNAM-MP
142Y/S,142Y/S,TGSRTC,3,142Y/S-BAPU HILLS-TO-SECRETERIATE-MP
1/458,1/458,TGSRTC,3,1/458-MAHESHWARAMBUSSTOP -TO-SECUN-MHRM
14P,14P,TGSRTC,3,14P-JBS-SECUNDERABAD-TO-PRASHANTH NAGAR-CNT
152,152,TGSRTC,3,152-V.V. NAGAR-TO- SECTARIAT-BDG
156/299,156/299,TGSRTC,3,156/299-SILVER-HAYATHNAGAR-MEHDIPATNAM
156/316,156/316,TGSRTC,3,156/316R_GACHIBOWLI_DILSUKHNAGA
156/316R,156/316R,TGSRTC,3,156/316R_GACHIBOWLI_LBNAGAR
156/505,156/505,TGSRTC,3,156/505-SHANKAR PALLY-MEHDIPATNAM-TO-HAYATHNAGAR-HYT2
156H,156H,TGSRTC,3,156H-SILVER-HAYATHNAGAR-MEHDIPATNAM
156H/202T,156H/202T,TGSRTC,3,251 - SHAMSHABAD TO FALAKNUMA DEPOT
156H/206,156H/206,TGSRTC,3,156H/206-MEHDIPATNAM-KOTHAGUDEM
156H/217,156H/217,TGSRTC,3,156H/217-SILVER-HAYATHNAGAR-TO-MEHDIPATNAM-PATANCHERUVU
156H/505,156H/505,TGSRTC,3,156H/505-SHANKAR PALLY-MEHDIPATNAM-TO-HAYATHNAGAR-HYT1
156H/B,156H/B,TGSRTC,3,156H/B- HARIHARAPURAM-MHEDIPATNAM-HYT-1
156L,156L,TGSRTC,3,156L-SILVER-MEHDIPATNAM-TO-LB NAGAR
156L/217,156L/217,TGSRTC,3,156H/217-SILVER-PATANCHERUVU-MEHDIPATNAM-TO-HAYATHNAGAR
156S/M,156S/M,TGSRTC,3,156S/M-MEHDIPATNAM-TO-SECRETARIAT-BDG
156V,156V,TGSRTC,3,156V-NGOS COLONY-DILSUKHNAGAR-TO-MEHDIPATNAM-HYT2
156V/505,156V/505,TGSRTC,3,156V/505-NGOS COLONY-MEHDIPATNAM-TO-SHANKER PALLY-HYT2
158F,158F,TGSRTC,3,107-D-SRNR-TO-DSNR
158F/R,158F/R,TGSRTC,3,158F/R-BORABANDA-TO-HAYATHNAGAR-HYT2
